"COMMON.NAME","SCIENTIFIC.NAME","site1","site2","site3","site4","site5"
"Blue-throated Barbet","Psilopogon asiaticus",NA,"Sundarbans",NA,"Kaziranga",NA
"Eurasian Wryneck","Jynx torquilla",NA,"Sundarbans",NA,"Kaziranga","Bharatpur"
"Speckled Piculet","Picumnus innominatus",NA,NA,NA,"Kaziranga",NA
"White-browed Piculet","Sasia ochracea",NA,NA,NA,"Kaziranga",NA
"Brown-capped Pygmy Woodpecker","Yungipicus nanus",NA,NA,NA,NA,"Bharatpur"
"Gray-capped Pygmy Woodpecker","Yungipicus canicapillus",NA,"Sundarbans",NA,"Kaziranga",NA
"Yellow-crowned Woodpecker","Leiopicus mahrattensis","Lodhi Gardens",NA,"Taj Mahal",NA,"Bharatpur"
"Fulvous-breasted Woodpecker","Dendrocopos macei",NA,"Sundarbans",NA,"Kaziranga",NA
"Greater Flameback","Chrysocolaptes guttacristatus",NA,"Sundarbans",NA,"Kaziranga",NA
"Rufous Woodpecker","Micropternus brachyurus",NA,"Sundarbans",NA,"Kaziranga",NA
"Black-rumped Flameback","Dinopium benghalense","Lodhi Gardens","Sundarbans","Taj Mahal","Kaziranga","Bharatpur"
"Lesser Yellownape","Picus chlorolophus",NA,"Sundarbans",NA,"Kaziranga",NA
"Streak-throated Woodpecker","Picus xanthopygaeus",NA,"Sundarbans",NA,"Kaziranga",NA
"Gray-headed Woodpecker","Picus canus",NA,NA,NA,"Kaziranga",NA
"Greater Yellownape","Chrysophlegma flavinucha",NA,NA,NA,"Kaziranga",NA
