eBird.English.Name.2022,eBird.English.Name.2023,SOIB.Concern.Status,SOIB.Long.Term.Status,SOIB.Current.Status,SOIB.Range.Status,Breeding.Activity.Period,Non.Breeding.Activity.Period,Diet.Guild,India.Endemic,Subcontinent.Endemic,Himalayas.Endemic,Endemic.Region,Habitat.Specialization,Migratory.Status.Within.India,Essential,Discard,Restricted.Islands,India.Checklist.Common.Name,India.Checklist.Scientific.Name,Onepercent.Estimates
Gray Peacock-Pheasant,Gray Peacock-Pheasant,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Grey Peacock Pheasant,Polyplectron bicalcaratum,
Mountain Bamboo-Partridge,Mountain Bamboo-Partridge,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mountain Bamboo Partridge,Bambusicola fytchii,
Red Junglefowl,Red Junglefowl,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Red Junglefowl,Gallus gallus,
Gray Junglefowl,Gray Junglefowl,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Omnivore,Yes,Yes,No,Mainland India,Forest,Resident,NA,NA,NA,Grey Junglefowl,Gallus sonneratii,
Gray Francolin,Gray Francolin,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident,NA,NA,NA,Grey Francolin,Ortygornis pondicerianus,
Swamp Francolin,Swamp Francolin,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Wetland,Resident,NA,NA,NA,Swamp Francolin,Ortygornis gularis,
Chinese Francolin,Chinese Francolin,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,1,NA,Chinese Francolin,Francolinus pintadeanus,
Black Francolin,Black Francolin,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident,1,NA,NA,Black Francolin,Francolinus francolinus,
Painted Francolin,Painted Francolin,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Open Habitat,Resident,NA,NA,NA,Painted Francolin,Francolinus pictus,
Tibetan Snowcock,Tibetan Snowcock,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Snowcock,Tetraogallus tibetanus,
Himalayan Snowcock,Himalayan Snowcock,Moderate,Data Deficient,Data Deficient,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,Yes,Himalayas,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Himalayan Snowcock,Tetraogallus himalayensis,
Blue-breasted Quail,Blue-breasted Quail,NA,NA,NA,NA,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Uncertain,NA,NA,NA,Blue-breasted Quail,Synoicus chinensis,
Common Quail,Common Quail,NA,NA,NA,NA,24 hour,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Common Quail,Coturnix coturnix,
Japanese Quail,Japanese Quail,NA,NA,NA,NA,No information,No information,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,1,NA,Japanese Quail,Coturnix japonica,
Rain Quail,Rain Quail,Moderate,Strong Decline,Strong Increase,Large,24 hour,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Uncertain,NA,NA,NA,Rain Quail,Coturnix coromandelica,
Chukar,Chukar,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Resident & Altitudinal Migrant,NA,NA,NA,Chukar Partridge,Alectoris chukar,
Jungle Bush-Quail,Jungle Bush-Quail,Moderate,Moderate Decline,Moderate Decline,Large,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Grassland & Scrub,Resident,NA,NA,NA,Jungle Bush Quail,Perdicula asiatica,
Rock Bush-Quail,Rock Bush-Quail,Low,Data Deficient,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Rock Bush Quail,Perdicula argoondah,
Painted Bush-Quail,Painted Bush-Quail,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Mainland India,Grassland & Scrub,Resident,NA,NA,NA,Painted Bush Quail,Perdicula erythrorhyncha,
Manipur Bush-Quail,Manipur Bush-Quail,High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Plant & Seed,Yes,Yes,No,Assam Plains,Grassland,Uncertain,NA,NA,NA,Manipur Bush Quail,Perdicula manipurensis,
Himalayan Quail,Himalayan Quail,High,Data Deficient,Data Deficient,Data Deficient,Diurnal,Diurnal,Plant & Seed,Yes,Yes,Yes,Western Himalayas,Grassland,Uncertain,NA,NA,NA,Himalayan Quail,Ophrysia superciliosa,
Greater Flamingo,Greater Flamingo,Low,Uncertain,Uncertain,Moderate,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Within-India Migrant,NA,NA,NA,Greater Flamingo,Phoenicopterus roseus,
Lesser Flamingo,Lesser Flamingo,Moderate,Data Deficient,Uncertain,Restricted,24 hour,24 hour,Plant & Seed,No,No,No,Non-endemic,Wetland,Within-India Migrant,NA,NA,NA,Lesser Flamingo,Phoeniconaias minor,3900
Little Grebe,Little Grebe,Low,Stable,Strong Decline,Very Large,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Little Grebe,Tachybaptus ruficollis,10000
Horned Grebe,Horned Grebe,NA,NA,NA,NA,Diurnal,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Horned Grebe,Podiceps auritus,
Red-necked Grebe,Red-necked Grebe,NA,NA,NA,NA,24 hour,24 hour,Omnivore,No,No,No,Non-endemic,Wetland,Uncertain,NA,1,NA,Red-necked Grebe,Podiceps grisegena,
Great Crested Grebe,Great Crested Grebe,Low,Uncertain,Uncertain,Moderate,Diurnal,24 hour,Vertebrate & Carrion,No,No,No,Non-endemic,Wetland,Resident & Winter Migrant,NA,NA,NA,Great Crested Grebe,Podiceps cristatus,250
Eared Grebe,Eared Grebe,NA,NA,NA,NA,24 hour,24 hour,Invertebrate,No,No,No,Non-endemic,Wetland,Winter Migrant & Localized Summer Migrant,NA,NA,NA,Black-necked Grebe,Podiceps nigricollis,
Rock Pigeon,Rock Pigeon,Low,Strong Increase,Strong Increase,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Rock Pigeon,Columba livia,
Hill Pigeon,Hill Pigeon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Hill Pigeon,Columba rupestris,
Snow Pigeon,Snow Pigeon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident & Altitudinal Migrant,NA,NA,NA,Snow Pigeon,Columba leuconota,
Yellow-eyed Pigeon,Yellow-eyed Pigeon,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant,1,NA,NA,Yellow-eyed Pigeon,Columba eversmanni,
Common Wood-Pigeon,Common Wood-Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Local Migrant & Winter Migrant,1,NA,NA,Common Wood Pigeon,Columba palumbus,
Speckled Wood-Pigeon,Speckled Wood-Pigeon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Speckled Wood Pigeon,Columba hodgsonii,
Ashy Wood-Pigeon,Ashy Wood-Pigeon,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident & Altitudinal Migrant,1,NA,NA,Ashy Wood Pigeon,Columba pulchricollis,
Nilgiri Wood-Pigeon,Nilgiri Wood-Pigeon,Moderate,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident & Local Migrant,NA,NA,NA,Nilgiri Wood Pigeon,Columba elphinstonii,
Pale-capped Pigeon,Pale-capped Pigeon,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest & Plantation,Resident,1,NA,NA,Pale-capped Pigeon,Columba punicea,
Andaman Wood-Pigeon,Andaman Wood-Pigeon,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Wood Pigeon,Columba palumboides,
European Turtle-Dove,European Turtle-Dove,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Uncertain,NA,1,NA,European Turtle Dove,Streptopelia turtur,
Oriental Turtle-Dove,Oriental Turtle-Dove,Low,Stable,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Within-India Migrant,NA,NA,NA,Oriental Turtle Dove,Streptopelia orientalis,
Eurasian Collared-Dove,Eurasian Collared-Dove,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Eurasian Collared Dove,Streptopelia decaocto,
Red Collared-Dove,Red Collared-Dove,Moderate,Moderate Decline,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident & Local Migrant,NA,NA,NA,Red Collared Dove,Streptopelia tranquebarica,
Spotted Dove,Spotted Dove,Low,Stable,Stable,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Spotted Dove,Spilopelia chinensis,
Laughing Dove,Laughing Dove,Low,Stable,Uncertain,Very Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Laughing Dove,Spilopelia senegalensis,
Barred Cuckoo-Dove,Barred Cuckoo-Dove,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Barred Cuckoo Dove,Macropygia unchall,
Andaman Cuckoo-Dove,Andaman Cuckoo-Dove,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Cuckoo Dove,Macropygia rufipennis,
Namaqua Dove,Namaqua Dove,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Open Habitat,Winter Migrant,NA,NA,NA,Namaqua Dove,Oena capensis,
Asian Emerald Dove,Asian Emerald Dove,Low,Stable,Uncertain,Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Asian Emerald Dove,Chalcophaps indica,
Nicobar Pigeon,Nicobar Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Forest,Resident,1,NA,1,Nicobar Pigeon,Caloenas nicobarica,
Orange-breasted Green-Pigeon,Orange-breasted Green-Pigeon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest & Plantation,Local Migrant,NA,NA,NA,Orange-breasted Green Pigeon,Treron bicinctus,
Gray-fronted Green-Pigeon,Gray-fronted Green-Pigeon,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Grey-fronted Green Pigeon,Treron affinis,
Andaman Green-Pigeon,Andaman Green-Pigeon,High,Data Deficient,Strong Decline,Restricted,Diurnal,Diurnal,Fruit & Nect,No,No,No,Andaman and Nicobar Islands,Forest,Resident,NA,NA,1,Andaman Green Pigeon,Treron chloropterus,
Ashy-headed Green-Pigeon,Ashy-headed Green-Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Ashy-headed Green Pigeon,Treron phayrei,
Thick-billed Green-Pigeon,Thick-billed Green-Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Thick-billed Green Pigeon,Treron curvirostra,
Yellow-footed Green-Pigeon,Yellow-footed Green-Pigeon,Low,Moderate Increase,Uncertain,Very Large,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Yellow-footed Green Pigeon,Treron phoenicopterus,
Pin-tailed Green-Pigeon,Pin-tailed Green-Pigeon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Pin-tailed Green Pigeon,Treron apicauda,
Wedge-tailed Green-Pigeon,Wedge-tailed Green-Pigeon,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Wedge-tailed Green Pigeon,Treron sphenurus,
Green Imperial-Pigeon,Green Imperial-Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Green Imperial Pigeon,Ducula aenea,
Nicobar Imperial-Pigeon,Nicobar Imperial-Pigeon,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Nicobar Islands,Forest,Resident,NA,NA,1,Nicobar Imperial Pigeon,Ducula nicobarica,
Malabar Imperial-Pigeon,Malabar Imperial-Pigeon,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Fruit & Nect,Yes,Yes,No,Western Ghats,Forest,Resident,NA,NA,NA,Malabar Imperial Pigeon,Ducula cuprea,
Mountain Imperial-Pigeon,Mountain Imperial-Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Mountain Imperial Pigeon,Ducula badia,
Pied Imperial-Pigeon,Pied Imperial-Pigeon,NA,NA,NA,NA,Diurnal,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,1,Pied Imperial Pigeon,Ducula bicolor,
Tibetan Sandgrouse,Tibetan Sandgrouse,Moderate,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Resident,NA,NA,NA,Tibetan Sandgrouse,Syrrhaptes tibetanus,
Pallas's Sandgrouse,Pallas's Sandgrouse,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Alpine & Cold Desert,Uncertain,NA,1,NA,Pallas's Sandgrouse,Syrrhaptes paradoxus,
Pin-tailed Sandgrouse,Pin-tailed Sandgrouse,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Uncertain,NA,1,NA,Pin-tailed Sandgrouse,Pterocles alchata,
Chestnut-bellied Sandgrouse,Chestnut-bellied Sandgrouse,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Resident,1,NA,NA,Chestnut-bellied Sandgrouse,Pterocles exustus,
Spotted Sandgrouse,Spotted Sandgrouse,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,NA,NA,Spotted Sandgrouse,Pterocles senegallus,
Black-bellied Sandgrouse,Black-bellied Sandgrouse,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Winter Migrant,NA,1,NA,Black-bellied Sandgrouse,Pterocles orientalis,
Painted Sandgrouse,Painted Sandgrouse,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Plant & Seed,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Painted Sandgrouse,Pterocles indicus,
Great Indian Bustard,Great Indian Bustard,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Resident,NA,NA,NA,Great Indian Bustard,Ardeotis nigriceps,
Macqueen's Bustard,Macqueen's Bustard,NA,NA,NA,NA,Diurnal,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Winter Migrant,1,NA,NA,Macqueen's Bustard,Chlamydotis macqueenii,
Bengal Florican,Bengal Florican,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Wetland,Resident & Local Migrant,1,NA,NA,Bengal Florican,Houbaropsis bengalensis,
Lesser Florican,Lesser Florican,High,Data Deficient,Data Deficient,Restricted,Diurnal,Diurnal,Omnivore,No,Yes,No,Indian Subcontinent,Grassland,Local Migrant,NA,NA,NA,Lesser Florican,Sypheotides indicus,
Little Bustard,Little Bustard,NA,NA,NA,NA,24 hour,Diurnal,Plant & Seed,No,No,No,Non-endemic,Grassland,Uncertain,NA,1,NA,Little Bustard,Tetrax tetrax,
Andaman Coucal,Andaman Coucal,Moderate,Data Deficient,Uncertain,Restricted,Diurnal,Diurnal,Invertebrate,No,No,No,Andaman Islands,Non-specialized,Resident,NA,NA,1,Andaman Coucal,Centropus andamanensis,
Greater Coucal,Greater Coucal,Low,Stable,Strong Increase,Very Large,Diurnal,Diurnal,Omnivore,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,Greater Coucal,Centropus sinensis,
Lesser Coucal,Lesser Coucal,Low,Data Deficient,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Wetland,Resident,NA,NA,NA,Lesser Coucal,Centropus bengalensis,
Sirkeer Malkoha,Sirkeer Malkoha,Moderate,Strong Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,Sirkeer Malkoha,Taccocua leschenaultii,
Blue-faced Malkoha,Blue-faced Malkoha,Low,Uncertain,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Blue-faced Malkoha,Phaenicophaeus viridirostris,
Green-billed Malkoha,Green-billed Malkoha,Low,Uncertain,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,NA,NA,NA,Green-billed Malkoha,Phaenicophaeus tristis,
Chestnut-winged Cuckoo,Chestnut-winged Cuckoo,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Chestnut-winged Cuckoo,Clamator coromandus,
Pied Cuckoo,Pied Cuckoo,Low,Stable,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Summer Migrant,NA,NA,NA,Pied Cuckoo,Clamator jacobinus,
Asian Koel,Asian Koel,Low,Moderate Increase,Strong Increase,Very Large,24 hour,Diurnal,Fruit & Nect,No,No,No,Non-endemic,Non-specialized,Resident,1,NA,NA,Asian Koel,Eudynamys scolopaceus,
Asian Emerald Cuckoo,Asian Emerald Cuckoo,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Summer Migrant,1,NA,NA,Asian Emerald Cuckoo,Chrysococcyx maculatus,
Violet Cuckoo,Violet Cuckoo,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Summer Migrant,NA,NA,NA,Violet Cuckoo,Chrysococcyx xanthorhynchus,
Horsfield's Bronze-Cuckoo,Horsfield's Bronze-Cuckoo,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Uncertain,NA,1,NA,Horsfield's Bronze Cuckoo,Chrysococcyx basalis,
Banded Bay Cuckoo,Banded Bay Cuckoo,Moderate,Moderate Decline,Uncertain,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Banded Bay Cuckoo,Cacomantis sonneratii,
Plaintive Cuckoo,Plaintive Cuckoo,Moderate,Data Deficient,Uncertain,Restricted,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Plaintive Cuckoo,Cacomantis merulinus,
Gray-bellied Cuckoo,Gray-bellied Cuckoo,Low,Uncertain,Uncertain,Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Non-specialized,Resident & Local Migrant,NA,NA,NA,Grey-bellied Cuckoo,Cacomantis passerinus,
Fork-tailed Drongo-Cuckoo,Fork-tailed Drongo-Cuckoo,Low,Data Deficient,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Within-India Migrant,NA,NA,NA,Fork-tailed Drongo Cuckoo,Surniculus dicruroides,
Square-tailed Drongo-Cuckoo,Square-tailed Drongo-Cuckoo,Low,Data Deficient,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant,NA,NA,NA,Square-tailed Drongo Cuckoo,Surniculus lugubris,
Large Hawk-Cuckoo,Large Hawk-Cuckoo,Low,Uncertain,Uncertain,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Within-India Migrant,NA,NA,NA,Large Hawk Cuckoo,Hierococcyx sparverioides,
Common Hawk-Cuckoo,Common Hawk-Cuckoo,Moderate,Moderate Decline,Uncertain,Very Large,24 hour,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Common Hawk Cuckoo,Hierococcyx varius,
Hodgson's Hawk-Cuckoo,Hodgson's Hawk-Cuckoo,NA,NA,NA,NA,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,NA,NA,NA,Hodgson's Hawk Cuckoo,Hierococcyx nisicolor,
Lesser Cuckoo,Lesser Cuckoo,Moderate,Data Deficient,Strong Decline,Moderate,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Lesser Cuckoo,Cuculus poliocephalus,
Indian Cuckoo,Indian Cuckoo,Moderate,Moderate Decline,Strong Decline,Large,24 hour,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest & Plantation,Summer Migrant & Localized Winter Migrant,NA,NA,NA,Indian Cuckoo,Cuculus micropterus,
Himalayan Cuckoo,Himalayan Cuckoo,Moderate,Data Deficient,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,NA,NA,NA,Himalayan Cuckoo,Cuculus saturatus,
Common Cuckoo,Common Cuckoo,Moderate,Moderate Decline,Moderate Decline,Large,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Summer Migrant & Passage Migrant,NA,NA,NA,Common Cuckoo,Cuculus canorus,
Sri Lanka Frogmouth,Sri Lanka Frogmouth,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Western Ghats & Sri Lanka,Forest,Resident,NA,NA,NA,Sri Lanka Frogmouth,Batrachostomus moniliger,
Hodgson's Frogmouth,Hodgson's Frogmouth,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident,1,NA,NA,Hodgson's Frogmouth,Batrachostomus hodgsoni,
Great Eared-Nightjar,Great Eared-Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Summer Migrant,1,NA,NA,Great Eared Nightjar,Lyncornis macrotis,
Jungle Nightjar,Jungle Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident & Local Migrant,NA,NA,NA,Jungle Nightjar,Caprimulgus indicus,
Gray Nightjar,Gray Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident & Summer Migrant,NA,NA,NA,Grey Nightjar,Caprimulgus jotaka,
Eurasian Nightjar,Eurasian Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Passage Migrant,NA,NA,NA,European Nightjar,Caprimulgus europaeus,
Sykes's Nightjar,Sykes's Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Open Habitat,Resident & Winter Migrant,1,NA,NA,Sykes's Nightjar,Caprimulgus mahrattensis,
Large-tailed Nightjar,Large-tailed Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Local Migrant,NA,NA,NA,Large-tailed Nightjar,Caprimulgus macrurus,
Andaman Nightjar,Andaman Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,Yes,Yes,No,Andaman Islands,Forest & Plantation,Resident,NA,NA,1,Andaman Nightjar,Caprimulgus andamanicus,
Jerdon's Nightjar,Jerdon's Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest & Plantation,Resident,NA,NA,NA,Jerdon's Nightjar,Caprimulgus atripennis,
Indian Nightjar,Indian Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Resident,NA,NA,NA,Indian Nightjar,Caprimulgus asiaticus,
Savanna Nightjar,Savanna Nightjar,NA,NA,NA,NA,Nocturnal,Nocturnal,Invertebrate,No,No,No,Non-endemic,Grassland & Scrub,Resident & Local Migrant,NA,NA,NA,Savanna Nightjar,Caprimulgus affinis,
White-rumped Needletail,White-rumped Spinetail,Moderate,Strong Decline,Uncertain,Moderate,Diurnal,Diurnal,Invertebrate,No,Yes,No,Indian Subcontinent,Forest,Resident,NA,NA,NA,White-rumped Spinetail,Zoonavena sylvatica,
White-throated Needletail,White-throated Needletail,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Non-specialized,Summer Migrant,NA,NA,NA,White-throated Needletail,Hirundapus caudacutus,
Silver-backed Needletail,Silver-backed Needletail,NA,NA,NA,NA,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Summer Migrant,NA,NA,NA,Silver-backed Needletail,Hirundapus cochinchinensis,
Brown-backed Needletail,Brown-backed Needletail,Moderate,Moderate Decline,Moderate Decline,Moderate,Diurnal,Diurnal,Invertebrate,No,No,No,Non-endemic,Forest,Resident & Summer Migrant,NA,NA,NA,Brown-backed Needletail,Hirundapus giganteus,
